Tick 0: Low: 258|middle: 474|high: 268
Tick 1: Low: 293|middle: 466|high: 241
Tick 2: Low: 459|middle: 480|high: 61
Tick 3: Low: 494|middle: 436|high: 70
Tick 4: Low: 532|middle: 411|high: 57
Tick 5: Low: 575|middle: 383|high: 42
Tick 6: Low: 529|middle: 424|high: 47
Tick 7: Low: 534|middle: 405|high: 61
Tick 8: Low: 587|middle: 368|high: 45
Tick 9: Low: 593|middle: 371|high: 36
Tick 10: Low: 660|middle: 314|high: 26
Tick 11: Low: 684|middle: 285|high: 31
Tick 12: Low: 683|middle: 283|high: 34
Tick 13: Low: 715|middle: 256|high: 29
Tick 14: Low: 745|middle: 230|high: 25
Tick 15: Low: 777|middle: 202|high: 21
Tick 16: Low: 799|middle: 184|high: 17
Tick 17: Low: 828|middle: 160|high: 12
Tick 18: Low: 859|middle: 128|high: 13
Tick 19: Low: 868|middle: 120|high: 12
Tick 20: Low: 868|middle: 119|high: 13
Tick 21: Low: 884|middle: 103|high: 13
Tick 22: Low: 878|middle: 110|high: 12
Tick 23: Low: 896|middle: 94|high: 10
Tick 24: Low: 908|middle: 81|high: 11
Tick 25: Low: 907|middle: 84|high: 9
Tick 26: Low: 914|middle: 76|high: 10
Tick 27: Low: 919|middle: 72|high: 9
Tick 28: Low: 925|middle: 66|high: 9
Tick 29: Low: 936|middle: 56|high: 8
Tick 30: Low: 943|middle: 51|high: 6
Tick 31: Low: 946|middle: 49|high: 5
Tick 32: Low: 946|middle: 50|high: 4
Tick 33: Low: 947|middle: 49|high: 4
Tick 34: Low: 945|middle: 50|high: 5
Tick 35: Low: 945|middle: 50|high: 5
Tick 36: Low: 944|middle: 52|high: 4
Tick 37: Low: 945|middle: 50|high: 5
Tick 38: Low: 939|middle: 57|high: 4
Tick 39: Low: 943|middle: 53|high: 4
Tick 40: Low: 942|middle: 53|high: 5
Tick 41: Low: 944|middle: 51|high: 5
Tick 42: Low: 945|middle: 50|high: 5
Tick 43: Low: 945|middle: 51|high: 4
Tick 44: Low: 946|middle: 50|high: 4
Tick 45: Low: 946|middle: 49|high: 5
Tick 46: Low: 946|middle: 49|high: 5
Tick 47: Low: 944|middle: 49|high: 7
Tick 48: Low: 946|middle: 49|high: 5
Tick 49: Low: 944|middle: 50|high: 6
Tick 50: Low: 940|middle: 54|high: 6
Tick 51: Low: 942|middle: 51|high: 7
Tick 52: Low: 941|middle: 52|high: 7
Tick 53: Low: 940|middle: 53|high: 7
Tick 54: Low: 939|middle: 53|high: 8
Tick 55: Low: 937|middle: 54|high: 9
Tick 56: Low: 935|middle: 56|high: 9
Tick 57: Low: 935|middle: 56|high: 9
Tick 58: Low: 936|middle: 55|high: 9
Tick 59: Low: 934|middle: 56|high: 10
Tick 60: Low: 937|middle: 53|high: 10
Tick 61: Low: 939|middle: 52|high: 9
Tick 62: Low: 937|middle: 53|high: 10
Tick 63: Low: 935|middle: 55|high: 10
Tick 64: Low: 942|middle: 47|high: 11
Tick 65: Low: 945|middle: 45|high: 10
Tick 66: Low: 944|middle: 46|high: 10
Tick 67: Low: 941|middle: 48|high: 11
Tick 68: Low: 944|middle: 45|high: 11
Tick 69: Low: 942|middle: 47|high: 11
Tick 70: Low: 942|middle: 46|high: 12
Tick 71: Low: 945|middle: 43|high: 12
Tick 72: Low: 945|middle: 44|high: 11
Tick 73: Low: 949|middle: 42|high: 9
Tick 74: Low: 947|middle: 44|high: 9
Tick 75: Low: 946|middle: 45|high: 9
Tick 76: Low: 946|middle: 46|high: 8
Tick 77: Low: 948|middle: 44|high: 8
Tick 78: Low: 953|middle: 39|high: 8
Tick 79: Low: 951|middle: 41|high: 8
Tick 80: Low: 953|middle: 39|high: 8
Tick 81: Low: 949|middle: 43|high: 8
Tick 82: Low: 944|middle: 49|high: 7
Tick 83: Low: 945|middle: 48|high: 7
Tick 84: Low: 944|middle: 49|high: 7
Tick 85: Low: 944|middle: 49|high: 7
Tick 86: Low: 944|middle: 49|high: 7
Tick 87: Low: 946|middle: 47|high: 7
Tick 88: Low: 951|middle: 43|high: 6
Tick 89: Low: 953|middle: 42|high: 5
Tick 90: Low: 954|middle: 41|high: 5
Tick 91: Low: 955|middle: 41|high: 4
Tick 92: Low: 957|middle: 39|high: 4
Tick 93: Low: 958|middle: 38|high: 4
Tick 94: Low: 963|middle: 33|high: 4
Tick 95: Low: 963|middle: 34|high: 3
Tick 96: Low: 965|middle: 33|high: 2
Tick 97: Low: 967|middle: 32|high: 1
Tick 98: Low: 969|middle: 30|high: 1
Tick 99: Low: 970|middle: 29|high: 1
Tick 100: Low: 972|middle: 26|high: 2
Tick 101: Low: 971|middle: 26|high: 3
Tick 102: Low: 974|middle: 23|high: 3
Tick 103: Low: 974|middle: 23|high: 3
Tick 104: Low: 975|middle: 22|high: 3
Tick 105: Low: 976|middle: 21|high: 3
Tick 106: Low: 980|middle: 17|high: 3
Tick 107: Low: 980|middle: 17|high: 3
Tick 108: Low: 981|middle: 16|high: 3
Tick 109: Low: 980|middle: 17|high: 3
Tick 110: Low: 984|middle: 14|high: 2
Tick 111: Low: 985|middle: 13|high: 2
Tick 112: Low: 984|middle: 14|high: 2
Tick 113: Low: 984|middle: 14|high: 2
Tick 114: Low: 984|middle: 14|high: 2
Tick 115: Low: 986|middle: 12|high: 2
Tick 116: Low: 986|middle: 12|high: 2
Tick 117: Low: 988|middle: 10|high: 2
Tick 118: Low: 989|middle: 9|high: 2
Tick 119: Low: 989|middle: 9|high: 2
Tick 120: Low: 989|middle: 9|high: 2
Tick 121: Low: 988|middle: 10|high: 2
Tick 122: Low: 988|middle: 10|high: 2
Tick 123: Low: 988|middle: 10|high: 2
Tick 124: Low: 988|middle: 10|high: 2
Tick 125: Low: 988|middle: 10|high: 2
Tick 126: Low: 987|middle: 11|high: 2
Tick 127: Low: 988|middle: 10|high: 2
Tick 128: Low: 987|middle: 11|high: 2
Tick 129: Low: 989|middle: 10|high: 1
Tick 130: Low: 990|middle: 9|high: 1
Tick 131: Low: 989|middle: 10|high: 1
Tick 132: Low: 989|middle: 10|high: 1
Tick 133: Low: 989|middle: 10|high: 1
Tick 134: Low: 989|middle: 10|high: 1
Tick 135: Low: 989|middle: 10|high: 1
Tick 136: Low: 989|middle: 10|high: 1
Tick 137: Low: 989|middle: 9|high: 2
Tick 138: Low: 986|middle: 12|high: 2
Tick 139: Low: 986|middle: 12|high: 2
Tick 140: Low: 983|middle: 15|high: 2
Tick 141: Low: 983|middle: 15|high: 2
Tick 142: Low: 986|middle: 12|high: 2
Tick 143: Low: 985|middle: 13|high: 2
Tick 144: Low: 984|middle: 14|high: 2
Tick 145: Low: 980|middle: 18|high: 2
Tick 146: Low: 981|middle: 18|high: 1
Tick 147: Low: 982|middle: 17|high: 1
Tick 148: Low: 915|middle: 61|high: 24
Tick 149: Low: 916|middle: 60|high: 24
Tick 150: Low: 917|middle: 61|high: 22
Tick 151: Low: 922|middle: 56|high: 22
Tick 152: Low: 922|middle: 58|high: 20
Tick 153: Low: 927|middle: 52|high: 21
Tick 154: Low: 924|middle: 55|high: 21
Tick 155: Low: 930|middle: 49|high: 21
Tick 156: Low: 927|middle: 52|high: 21
Tick 157: Low: 925|middle: 56|high: 19
Tick 158: Low: 923|middle: 58|high: 19
Tick 159: Low: 922|middle: 59|high: 19
Tick 160: Low: 922|middle: 61|high: 17
Tick 161: Low: 938|middle: 45|high: 17
Tick 162: Low: 941|middle: 42|high: 17
Tick 163: Low: 946|middle: 39|high: 15
Tick 164: Low: 944|middle: 41|high: 15
Tick 165: Low: 941|middle: 45|high: 14
Tick 166: Low: 941|middle: 45|high: 14
Tick 167: Low: 945|middle: 42|high: 13
Tick 168: Low: 945|middle: 44|high: 11
Tick 169: Low: 946|middle: 42|high: 12
Tick 170: Low: 930|middle: 55|high: 15
Tick 171: Low: 932|middle: 54|high: 14
Tick 172: Low: 934|middle: 50|high: 16
Tick 173: Low: 932|middle: 51|high: 17
Tick 174: Low: 935|middle: 49|high: 16
Tick 175: Low: 933|middle: 49|high: 18
Tick 176: Low: 934|middle: 49|high: 17
Tick 177: Low: 934|middle: 49|high: 17
Tick 178: Low: 938|middle: 47|high: 15
Tick 179: Low: 943|middle: 44|high: 13
Tick 180: Low: 943|middle: 45|high: 12
Tick 181: Low: 947|middle: 44|high: 9
Tick 182: Low: 953|middle: 40|high: 7
Tick 183: Low: 949|middle: 42|high: 9
Tick 184: Low: 950|middle: 42|high: 8
Tick 185: Low: 949|middle: 43|high: 8
Tick 186: Low: 949|middle: 43|high: 8
Tick 187: Low: 953|middle: 38|high: 9
Tick 188: Low: 952|middle: 40|high: 8
Tick 189: Low: 951|middle: 43|high: 6
Tick 190: Low: 952|middle: 43|high: 5
Tick 191: Low: 955|middle: 40|high: 5
Tick 192: Low: 957|middle: 38|high: 5
Tick 193: Low: 957|middle: 38|high: 5
Tick 194: Low: 959|middle: 36|high: 5
Tick 195: Low: 960|middle: 35|high: 5
Tick 196: Low: 963|middle: 33|high: 4
Tick 197: Low: 966|middle: 30|high: 4
Tick 198: Low: 968|middle: 29|high: 3
Tick 199: Low: 966|middle: 31|high: 3
Tick 200: Low: 967|middle: 30|high: 3
Tick 201: Low: 971|middle: 26|high: 3
Tick 202: Low: 968|middle: 29|high: 3
Tick 203: Low: 968|middle: 29|high: 3
Tick 204: Low: 969|middle: 28|high: 3
Tick 205: Low: 970|middle: 27|high: 3
Tick 206: Low: 970|middle: 27|high: 3
Tick 207: Low: 965|middle: 32|high: 3
Tick 208: Low: 964|middle: 32|high: 4
Tick 209: Low: 964|middle: 32|high: 4
Tick 210: Low: 963|middle: 34|high: 3
Tick 211: Low: 963|middle: 34|high: 3
Tick 212: Low: 959|middle: 38|high: 3
Tick 213: Low: 960|middle: 37|high: 3
Tick 214: Low: 960|middle: 37|high: 3
Tick 215: Low: 960|middle: 36|high: 4
Tick 216: Low: 958|middle: 38|high: 4
Tick 217: Low: 958|middle: 38|high: 4
Tick 218: Low: 958|middle: 36|high: 6
Tick 219: Low: 958|middle: 36|high: 6
Tick 220: Low: 915|middle: 75|high: 10
Tick 221: Low: 913|middle: 76|high: 11
Tick 222: Low: 909|middle: 80|high: 11
Tick 223: Low: 917|middle: 74|high: 9
Tick 224: Low: 919|middle: 73|high: 8
Tick 225: Low: 919|middle: 73|high: 8
Tick 226: Low: 923|middle: 69|high: 8
Tick 227: Low: 922|middle: 70|high: 8
Tick 228: Low: 924|middle: 68|high: 8
Tick 229: Low: 931|middle: 61|high: 8
Tick 230: Low: 937|middle: 57|high: 6
Tick 231: Low: 942|middle: 52|high: 6
Tick 232: Low: 947|middle: 47|high: 6
Tick 233: Low: 947|middle: 48|high: 5
Tick 234: Low: 950|middle: 45|high: 5
Tick 235: Low: 955|middle: 40|high: 5
Tick 236: Low: 955|middle: 41|high: 4
Tick 237: Low: 957|middle: 39|high: 4
Tick 238: Low: 956|middle: 40|high: 4
Tick 239: Low: 960|middle: 36|high: 4
Tick 240: Low: 962|middle: 34|high: 4
Tick 241: Low: 965|middle: 31|high: 4
Tick 242: Low: 966|middle: 30|high: 4
Tick 243: Low: 971|middle: 26|high: 3
Tick 244: Low: 970|middle: 27|high: 3
Tick 245: Low: 973|middle: 25|high: 2
Tick 246: Low: 976|middle: 22|high: 2
Tick 247: Low: 977|middle: 20|high: 3
Tick 248: Low: 978|middle: 19|high: 3
Tick 249: Low: 977|middle: 20|high: 3
Tick 250: Low: 979|middle: 18|high: 3
Tick 251: Low: 979|middle: 18|high: 3
Tick 252: Low: 980|middle: 17|high: 3
Tick 253: Low: 981|middle: 16|high: 3
Tick 254: Low: 982|middle: 16|high: 2
Tick 255: Low: 984|middle: 14|high: 2
Tick 256: Low: 984|middle: 14|high: 2
Tick 257: Low: 983|middle: 15|high: 2
Tick 258: Low: 983|middle: 15|high: 2
Tick 259: Low: 981|middle: 17|high: 2
Tick 260: Low: 982|middle: 17|high: 1
Tick 261: Low: 982|middle: 17|high: 1
Tick 262: Low: 983|middle: 16|high: 1
Tick 263: Low: 982|middle: 17|high: 1
Tick 264: Low: 984|middle: 15|high: 1
Tick 265: Low: 984|middle: 15|high: 1
Tick 266: Low: 985|middle: 14|high: 1
Tick 267: Low: 985|middle: 14|high: 1
Tick 268: Low: 983|middle: 16|high: 1
Tick 269: Low: 985|middle: 14|high: 1
Tick 270: Low: 985|middle: 14|high: 1
Tick 271: Low: 986|middle: 13|high: 1
Tick 272: Low: 987|middle: 12|high: 1
Tick 273: Low: 987|middle: 12|high: 1
Tick 274: Low: 987|middle: 12|high: 1
Tick 275: Low: 988|middle: 11|high: 1
Tick 276: Low: 988|middle: 11|high: 1
Tick 277: Low: 989|middle: 10|high: 1
Tick 278: Low: 932|middle: 57|high: 11
Tick 279: Low: 932|middle: 57|high: 11
Tick 280: Low: 932|middle: 57|high: 11
Tick 281: Low: 930|middle: 59|high: 11
Tick 282: Low: 935|middle: 55|high: 10
Tick 283: Low: 937|middle: 55|high: 8
Tick 284: Low: 939|middle: 54|high: 7
Tick 285: Low: 941|middle: 52|high: 7
Tick 286: Low: 940|middle: 52|high: 8
Tick 287: Low: 944|middle: 48|high: 8
Tick 288: Low: 945|middle: 47|high: 8
Tick 289: Low: 948|middle: 45|high: 7
Tick 290: Low: 944|middle: 47|high: 9
Tick 291: Low: 943|middle: 49|high: 8
Tick 292: Low: 942|middle: 49|high: 9
Tick 293: Low: 943|middle: 49|high: 8
Tick 294: Low: 940|middle: 52|high: 8
Tick 295: Low: 942|middle: 51|high: 7
Tick 296: Low: 940|middle: 54|high: 6
Tick 297: Low: 943|middle: 50|high: 7
Tick 298: Low: 940|middle: 53|high: 7
Tick 299: Low: 945|middle: 49|high: 6
Tick 300: Low: 947|middle: 48|high: 5
Tick 301: Low: 947|middle: 48|high: 5
Tick 302: Low: 946|middle: 49|high: 5
Tick 303: Low: 946|middle: 49|high: 5
Tick 304: Low: 948|middle: 47|high: 5
Tick 305: Low: 951|middle: 44|high: 5
Tick 306: Low: 947|middle: 49|high: 4
Tick 307: Low: 950|middle: 45|high: 5
Tick 308: Low: 950|middle: 45|high: 5
Tick 309: Low: 952|middle: 43|high: 5
Tick 310: Low: 954|middle: 41|high: 5
Tick 311: Low: 956|middle: 40|high: 4
Tick 312: Low: 953|middle: 43|high: 4
Tick 313: Low: 953|middle: 43|high: 4
Tick 314: Low: 953|middle: 44|high: 3
Tick 315: Low: 955|middle: 42|high: 3
Tick 316: Low: 956|middle: 41|high: 3
Tick 317: Low: 958|middle: 39|high: 3
Tick 318: Low: 958|middle: 39|high: 3
Tick 319: Low: 958|middle: 39|high: 3
Tick 320: Low: 959|middle: 38|high: 3
Tick 321: Low: 956|middle: 41|high: 3
Tick 322: Low: 955|middle: 41|high: 4
Tick 323: Low: 957|middle: 38|high: 5
Tick 324: Low: 956|middle: 39|high: 5
Tick 325: Low: 957|middle: 38|high: 5
Tick 326: Low: 955|middle: 41|high: 4
Tick 327: Low: 957|middle: 39|high: 4
Tick 328: Low: 964|middle: 32|high: 4
Tick 329: Low: 965|middle: 31|high: 4
Tick 330: Low: 968|middle: 29|high: 3
Tick 331: Low: 968|middle: 29|high: 3
Tick 332: Low: 935|middle: 56|high: 9
Tick 333: Low: 942|middle: 49|high: 9
Tick 334: Low: 944|middle: 48|high: 8
Tick 335: Low: 942|middle: 50|high: 8
Tick 336: Low: 948|middle: 44|high: 8
Tick 337: Low: 950|middle: 43|high: 7
Tick 338: Low: 954|middle: 40|high: 6
Tick 339: Low: 952|middle: 42|high: 6
Tick 340: Low: 949|middle: 46|high: 5
Tick 341: Low: 952|middle: 43|high: 5
Tick 342: Low: 956|middle: 42|high: 2
Tick 343: Low: 961|middle: 37|high: 2
Tick 344: Low: 963|middle: 35|high: 2
Tick 345: Low: 964|middle: 34|high: 2
Tick 346: Low: 967|middle: 31|high: 2
Tick 347: Low: 974|middle: 24|high: 2
Tick 348: Low: 973|middle: 25|high: 2
Tick 349: Low: 975|middle: 23|high: 2
Tick 350: Low: 976|middle: 21|high: 3
Tick 351: Low: 975|middle: 22|high: 3
Tick 352: Low: 976|middle: 21|high: 3
Tick 353: Low: 974|middle: 22|high: 4
Tick 354: Low: 974|middle: 22|high: 4
Tick 355: Low: 974|middle: 22|high: 4
Tick 356: Low: 974|middle: 22|high: 4
Tick 357: Low: 975|middle: 21|high: 4
Tick 358: Low: 978|middle: 18|high: 4
Tick 359: Low: 981|middle: 15|high: 4
Tick 360: Low: 981|middle: 15|high: 4
Tick 361: Low: 982|middle: 16|high: 2
Tick 362: Low: 982|middle: 16|high: 2
Tick 363: Low: 983|middle: 15|high: 2
Tick 364: Low: 982|middle: 16|high: 2
Tick 365: Low: 965|middle: 32|high: 3
Tick 366: Low: 964|middle: 34|high: 2
Tick 367: Low: 965|middle: 33|high: 2
Tick 368: Low: 964|middle: 34|high: 2
Tick 369: Low: 960|middle: 36|high: 4
Tick 370: Low: 961|middle: 35|high: 4
Tick 371: Low: 960|middle: 36|high: 4
Tick 372: Low: 957|middle: 39|high: 4
Tick 373: Low: 957|middle: 39|high: 4
Tick 374: Low: 960|middle: 35|high: 5
Tick 375: Low: 959|middle: 36|high: 5
Tick 376: Low: 959|middle: 37|high: 4
Tick 377: Low: 957|middle: 39|high: 4
Tick 378: Low: 958|middle: 38|high: 4
Tick 379: Low: 957|middle: 39|high: 4
Tick 380: Low: 953|middle: 43|high: 4
Tick 381: Low: 955|middle: 41|high: 4
Tick 382: Low: 953|middle: 42|high: 5
Tick 383: Low: 952|middle: 43|high: 5
Tick 384: Low: 948|middle: 47|high: 5
Tick 385: Low: 948|middle: 46|high: 6
Tick 386: Low: 945|middle: 49|high: 6
Tick 387: Low: 944|middle: 50|high: 6
Tick 388: Low: 943|middle: 51|high: 6
Tick 389: Low: 941|middle: 53|high: 6
Tick 390: Low: 941|middle: 52|high: 7
Tick 391: Low: 945|middle: 48|high: 7
Tick 392: Low: 945|middle: 49|high: 6
Tick 393: Low: 950|middle: 44|high: 6
Tick 394: Low: 955|middle: 40|high: 5
Tick 395: Low: 951|middle: 44|high: 5
Tick 396: Low: 948|middle: 47|high: 5
Tick 397: Low: 949|middle: 46|high: 5
Tick 398: Low: 949|middle: 45|high: 6
Tick 399: Low: 948|middle: 44|high: 8
Tick 400: Low: 949|middle: 43|high: 8
Tick 401: Low: 951|middle: 42|high: 7
Tick 402: Low: 951|middle: 41|high: 8
Tick 403: Low: 952|middle: 40|high: 8
Tick 404: Low: 951|middle: 41|high: 8
Tick 405: Low: 951|middle: 40|high: 9
Tick 406: Low: 946|middle: 45|high: 9
Tick 407: Low: 945|middle: 46|high: 9
Tick 408: Low: 943|middle: 49|high: 8
Tick 409: Low: 943|middle: 48|high: 9
Tick 410: Low: 944|middle: 48|high: 8
Tick 411: Low: 944|middle: 48|high: 8
Tick 412: Low: 942|middle: 50|high: 8
Tick 413: Low: 942|middle: 49|high: 9
Tick 414: Low: 941|middle: 50|high: 9
Tick 415: Low: 940|middle: 51|high: 9
Tick 416: Low: 936|middle: 55|high: 9
Tick 417: Low: 936|middle: 55|high: 9
Tick 418: Low: 942|middle: 51|high: 7
Tick 419: Low: 941|middle: 51|high: 8
Tick 420: Low: 938|middle: 56|high: 6
Tick 421: Low: 939|middle: 55|high: 6
Tick 422: Low: 939|middle: 54|high: 7
Tick 423: Low: 941|middle: 52|high: 7
Tick 424: Low: 939|middle: 54|high: 7
Tick 425: Low: 942|middle: 51|high: 7
Tick 426: Low: 940|middle: 53|high: 7
Tick 427: Low: 936|middle: 53|high: 11
Tick 428: Low: 938|middle: 53|high: 9
Tick 429: Low: 937|middle: 55|high: 8
Tick 430: Low: 941|middle: 52|high: 7
Tick 431: Low: 940|middle: 53|high: 7
Tick 432: Low: 940|middle: 53|high: 7
Tick 433: Low: 942|middle: 51|high: 7
Tick 434: Low: 944|middle: 50|high: 6
Tick 435: Low: 948|middle: 46|high: 6
Tick 436: Low: 945|middle: 50|high: 5
Tick 437: Low: 947|middle: 49|high: 4
Tick 438: Low: 955|middle: 42|high: 3
Tick 439: Low: 956|middle: 40|high: 4
Tick 440: Low: 957|middle: 39|high: 4
Tick 441: Low: 957|middle: 39|high: 4
Tick 442: Low: 957|middle: 39|high: 4
Tick 443: Low: 957|middle: 39|high: 4
Tick 444: Low: 957|middle: 39|high: 4
Tick 445: Low: 957|middle: 39|high: 4
Tick 446: Low: 956|middle: 41|high: 3
Tick 447: Low: 953|middle: 44|high: 3
Tick 448: Low: 949|middle: 48|high: 3
Tick 449: Low: 950|middle: 47|high: 3
Tick 450: Low: 947|middle: 50|high: 3
Tick 451: Low: 949|middle: 48|high: 3
Tick 452: Low: 949|middle: 49|high: 2
Tick 453: Low: 946|middle: 52|high: 2
Tick 454: Low: 918|middle: 73|high: 9
Tick 455: Low: 916|middle: 75|high: 9
Tick 456: Low: 916|middle: 74|high: 10
Tick 457: Low: 923|middle: 68|high: 9
Tick 458: Low: 924|middle: 67|high: 9
Tick 459: Low: 922|middle: 68|high: 10
Tick 460: Low: 923|middle: 65|high: 12
Tick 461: Low: 918|middle: 71|high: 11
Tick 462: Low: 919|middle: 71|high: 10
Tick 463: Low: 927|middle: 64|high: 9
Tick 464: Low: 930|middle: 60|high: 10
Tick 465: Low: 933|middle: 57|high: 10
Tick 466: Low: 922|middle: 64|high: 14
Tick 467: Low: 933|middle: 57|high: 10
Tick 468: Low: 936|middle: 55|high: 9
Tick 469: Low: 942|middle: 52|high: 6
Tick 470: Low: 946|middle: 46|high: 8
Tick 471: Low: 946|middle: 44|high: 10
Tick 472: Low: 946|middle: 44|high: 10
Tick 473: Low: 949|middle: 43|high: 8
Tick 474: Low: 950|middle: 43|high: 7
Tick 475: Low: 953|middle: 41|high: 6
Tick 476: Low: 958|middle: 37|high: 5
Tick 477: Low: 958|middle: 37|high: 5
Tick 478: Low: 961|middle: 36|high: 3
Tick 479: Low: 964|middle: 32|high: 4
Tick 480: Low: 967|middle: 29|high: 4
Tick 481: Low: 968|middle: 28|high: 4
Tick 482: Low: 970|middle: 26|high: 4
Tick 483: Low: 972|middle: 24|high: 4
Tick 484: Low: 973|middle: 23|high: 4
Tick 485: Low: 974|middle: 22|high: 4
Tick 486: Low: 974|middle: 22|high: 4
Tick 487: Low: 973|middle: 23|high: 4
Tick 488: Low: 975|middle: 22|high: 3
Tick 489: Low: 974|middle: 23|high: 3
Tick 490: Low: 975|middle: 22|high: 3
Tick 491: Low: 973|middle: 24|high: 3
Tick 492: Low: 973|middle: 23|high: 4
Tick 493: Low: 976|middle: 20|high: 4
Tick 494: Low: 974|middle: 23|high: 3
Tick 495: Low: 974|middle: 21|high: 5
Tick 496: Low: 974|middle: 21|high: 5
Tick 497: Low: 976|middle: 18|high: 6
Tick 498: Low: 977|middle: 18|high: 5
Tick 499: Low: 976|middle: 19|high: 5
Tick 500: Low: 977|middle: 19|high: 4
